time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445750000	14.4051	2.99038	5.22919	0.507538	0.303384	radar	2492.77	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6137	3.04938	5.14118	0.492208	0.262451	lidar	8156.85	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.845	3.21263	5.25047	0.520728	0.27922	radar	2635.39	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0551	3.40696	5.28546	0.567645	0.323854	lidar	8925.52	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2628	3.58121	5.22649	0.605714	0.359931	radar	2844.85	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4784	3.76514	5.26418	0.63869	0.380052	lidar	9583.7	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6887	3.90097	5.23397	0.647433	0.366888	radar	2882.29	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.913	4.03384	5.2272	0.649707	0.345257	lidar	10168.1	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1064	4.19578	5.12147	0.677619	0.368952	radar	3155.51	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3032	4.38808	5.1563	0.709487	0.386922	lidar	10737.9	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5141	4.55374	5.19747	0.720729	0.373101	radar	3345.94	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6923	4.7141	5.16336	0.737614	0.370777	lidar	11150.3	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8429	4.90018	4.97234	0.784434	0.42818	radar	3451.77	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0038	5.12675	5.02269	0.829879	0.46025	lidar	11845	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1754	5.29006	4.98704	0.842595	0.4477	radar	3550.61	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3327	5.46618	4.96397	0.861976	0.44375	lidar	12310.2	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.491	5.62539	4.89435	0.874553	0.434542	radar	3665.89	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6839	5.73857	4.82149	0.85479	0.379844	lidar	13037.1	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8301	5.92552	4.76352	0.883439	0.399984	radar	3954.03	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0017	6.12093	4.80147	0.900147	0.395773	lidar	13738.8	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1542	6.32557	4.84909	0.922038	0.395842	radar	4159.97	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2727	6.5747	4.90946	0.970944	0.434223	lidar	14096.3	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4058	6.78633	4.90806	0.997931	0.443276	radar	4298.05	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5549	6.91346	4.79449	0.984561	0.396804	lidar	14587.2	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7072	7.11902	4.87941	0.991414	0.369902	radar	4501.33	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9077	7.25235	4.81817	0.96041	0.305687	lidar	15652.4	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9979	7.44334	4.67218	0.999695	0.351657	radar	4412.79	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0828	7.72658	4.78256	1.06104	0.40892	lidar	15861.6	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2068	7.92907	4.79922	1.07248	0.392908	radar	4768.61	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2834	8.15187	4.79225	1.10881	0.414121	lidar	16182.3	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3846	8.36005	4.81844	1.1223	0.395829	radar	4759.41	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4814	8.49999	4.67749	1.11965	0.3666	lidar	16595.3	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5755	8.70131	4.6308	1.1406	0.375058	radar	5048.01	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.738	8.87705	4.6093	1.12237	0.328294	lidar	17940.1	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8143	9.09153	4.55384	1.15625	0.36122	radar	5270.54	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9409	9.33043	4.62914	1.16829	0.354359	lidar	18566.5	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9888	9.54398	4.523	1.21482	0.409346	radar	5338.45	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0705	9.79734	4.60043	1.2445	0.421613	lidar	18896.1	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1317	10.0506	4.69838	1.27261	0.421266	radar	5662.46	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1742	10.3396	4.80833	1.32008	0.454921	lidar	19329	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1888	10.5759	4.74352	1.37266	0.509148	radar	5628.15	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.243	10.8592	4.84435	1.40502	0.517949	lidar	20072.2	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.27	11.1234	4.91412	1.43506	0.515101	radar	5981.72	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3049	11.3597	4.90069	1.4572	0.510695	lidar	20256.8	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2471	11.6101	4.80692	1.54293	0.622017	radar	5856.33	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3205	11.8441	4.79735	1.54324	0.584736	lidar	21230.3	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3487	12.0799	4.8668	1.53908	0.508945	radar	6077.1	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3311	12.377	4.97917	1.58061	0.528037	lidar	21290.2	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2791	12.6154	4.90131	1.64366	0.602375	radar	6244.11	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3079	12.8465	4.86593	1.65146	0.575777	lidar	21923.7	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.2984	13.0741	4.83127	1.67383	0.569052	radar	6541.81	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2663	13.2788	4.76006	1.7013	0.56792	lidar	21730.3	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2293	13.5132	4.77816	1.72397	0.549714	radar	6515.57	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2069	13.7762	4.82915	1.74542	0.542556	lidar	22656	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.153	14.0004	4.79131	1.78149	0.563006	radar	6708.37	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0948	14.2607	4.84925	1.81207	0.565948	lidar	22821	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0233	14.4898	4.84904	1.84217	0.564035	radar	6743.96	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9097	14.7525	4.93699	1.88852	0.585457	lidar	22782.1	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8452	14.9687	4.91112	1.90046	0.545739	radar	6781.59	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8225	15.1771	4.82482	1.90472	0.519075	lidar	23613.9	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.692	15.3808	4.73822	1.98945	0.655437	radar	7237.65	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6724	15.5541	4.59251	1.99318	0.621644	lidar	23863.2	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5862	15.7515	4.56935	2.01549	0.602482	radar	7100.08	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4774	15.9712	4.60589	2.04715	0.604176	lidar	23766.7	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3807	16.176	4.61547	2.05743	0.554681	radar	7146.75	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2721	16.3531	4.56459	2.08718	0.55723	lidar	23734.2	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1589	16.5447	4.5509	2.11651	0.561925	radar	7360.73	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0201	16.767	4.62627	2.14723	0.564697	lidar	24100.1	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.862	16.9589	4.63852	2.21458	0.659078	radar	7755.8	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6715	17.2134	4.82623	2.25322	0.664628	lidar	24244.9	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5756	17.416	4.78855	2.22427	0.526251	radar	7433.87	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3517	17.6207	4.91161	2.27311	0.550465	lidar	23747.4	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2142	17.8146	4.90147	2.27153	0.48235	radar	7439.61	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0887	17.9973	4.85187	2.28506	0.470995	lidar	24534.6	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
